Èíslo K2;Název;Zkratka;Mìna;Cena;Množství
55272;DPS FEI 1054133 (GOLD, PANEL 1x1 Pcs) Isola IS400;DPS FEI 1054133 (GOLD, PANEL 1x1 Pcs) Isola IS400;CZK;869;1
15213;TK SMD 0805 100N/50V 10% X7R (V PASU) RoHS;TK SMD 0805 100N/50V 10% X7R (V PASU) RoHS;CZK;0,04;12
47025;TK SMD 1206 1M/50V 5% X7R (V PASU) RoHS;TK SMD 1206 1M/50V 5% X7R (V PASU) RoHS;CZK;5,7;4
15212;TK SMD 0805 10N/50V 10% X7R (V PASU) RoHS;TK SMD 0805 10N/50V 10% X7R (V PASU) RoHS;CZK;0,04;2
16041;TK SMD 0805 1N/50V 5% C0G/NPO (V PASU) RoHS;TK SMD 0805 1N/50V 5% C0G/NPO (V PASU) RoHS;CZK;0,07;12
21708;TK SMD 1210 4M7/50V 10% X7R (V PASU) RoHS;TK SMD 1210 4M7/50V 10% X7R (V PASU) RoHS;EUR;0,05;1
52273;TK SMD 1206 1N/200V 5% C0G/NPO (V PASU) RoHS;TK SMD 1206 1N/200V 5% C0G/NPO (V PASU) RoHS;CZK;1,2;3
52283;TK SMD 1206 470P/1000V 5% C0G/NPO (V PASU) RoHS;TK SMD 1206 470P/1000V 5% C0G/NPO (V PASU) RoHS;CZK;3,73;2
19352;TK SMD 0805 22N/50V 10%  X7R (V PASU) RoHS;TK SMD 0805 22N/50V 10%  X7R (V PASU) RoHS;EUR;0;1
29787;TK SMD 1210 10M/25V 10% X7R (V PASU) RoHS;TK SMD 1210 10M/25V 10% X7R (V PASU) RoHS;EUR;0,04;2
39188;FERIT MURATA BLM31PG601SN1L (SMD 1206, 600ohm/1500mA) RoHS;FERIT MURATA BLM31PG601SN1L (SMD 1206, 600ohm/1500mA) RoHS;USD;0,18;1
47058;UC3872DW (SMD SOIC16) RoHS;UC3872DW (SMD SOIC16) RoHS;USD;4,31;1
47538;ADP3634ARDZ (SMD SOIC8) RoHS;ADP3634ARDZ (SMD SOIC8) RoHS;CZK;29,26;1
52301;AD8210YRZ (SMD SO-8) RoHS;AD8210YRZ (SMD SO-8) RoHS;CZK;47,98;1
20912;AD8221ARMZ (SMD MSOP8) RoHS;AD8221ARMZ (SMD MSOP8) RoHS;USD;2,38;1
40325;LM393M (SMD SOIC8) RoHS;LM393M (SMD SOIC8) RoHS;EUR;0,21;1
26411;ODPOR SMD 0603 47K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 47K/F 0,1W (V PASU) RoHS;CZK;0,01;1
19991;ODPOR SMD 0603 15K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 15K/F 0,1W (V PASU) RoHS;CZK;0,01;3
25842;ODPOR SMD 1206 100R/F 0,25W (V PASU) RoHS;ODPOR SMD 1206 100R/F 0,25W (V PASU) RoHS;CZK;0,03;6
20536;ODPOR SMD 0603 4K7/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 4K7/F 0,1W (V PASU) RoHS;CZK;0,01;4
19998;ODPOR SMD 0603 1K2/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 1K2/F 0,1W (V PASU) RoHS;CZK;0,01;1
19260;ODPOR SMD 1206 150R/F (V PASU) RoHS;ODPOR SMD 1206 150R/F (V PASU) RoHS;CZK;0,03;2
26778;ODPOR SMD 0603 10K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 10K/F 0,1W (V PASU) RoHS;CZK;0,01;7
18028;ODPOR SMD 0603 22K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 22K/F 0,1W (V PASU) RoHS;CZK;0,01;2
25179;ODPOR SMD 1206 470R/F (V PASU)  RoHS;ODPOR SMD 1206 470R/F (V PASU)  RoHS;CZK;0,03;3
55367;ODPOR SMD 2010 10R 0,75W (PWC2010-10RJI) RoHS;ODPOR SMD 2010 10R 0,75W (PWC2010-10RJI) RoHS;CZK;6,96;2
10051;ODPOR SMD 1206 12K/F (V PASU) RoHS;ODPOR SMD 1206 12K/F (V PASU) RoHS;CZK;0,03;2
7428;ODPOR SMD 1206 2K2/F 0,25W (V PASU) RoHS;ODPOR SMD 1206 2K2/F 0,25W (V PASU) RoHS;CZK;0,03;1
10141;ODPOR SMD 1206 22K/F (V PASU)  RoHS;ODPOR SMD 1206 22K/F (V PASU)  RoHS;CZK;0,03;2
14888;ODPOR SMD 1206 1K/F 0,25W (V PASU) RoHS;ODPOR SMD 1206 1K/F 0,25W (V PASU) RoHS;CZK;0,03;1
28573;ODPOR SMD 0603 33K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 33K/F 0,1W (V PASU) RoHS;CZK;0,01;1
46535;ODPOR SMD 1206 68K/F (V PASU) RoHS;ODPOR SMD 1206 68K/F (V PASU) RoHS;CZK;0,03;1
9610;ODPOR SMD 1206 82K/F (V PASU) RoHS;ODPOR SMD 1206 82K/F (V PASU) RoHS;CZK;0,19;1
52670;ODPOR SMD 1218 3R3/F 1W (V PASU) RoHS;ODPOR SMD 1218 3R3/F 1W (V PASU) RoHS;CZK;1,35;1
19257;ODPOR SMD 1206 5K6/F (V PASU) RoHS;ODPOR SMD 1206 5K6/F (V PASU) RoHS;CZK;0,03;1
23047;ODPOR SMD 1206 68R/F (V PASU) RoHS;ODPOR SMD 1206 68R/F (V PASU) RoHS;CZK;0,03;1
46183;ODPOR SMD 1206 33R/F (V PASU) RoHS;ODPOR SMD 1206 33R/F (V PASU) RoHS;CZK;0,03;1
19993;ODPOR SMD 0603 100K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 100K/F 0,1W (V PASU) RoHS;CZK;0,01;1
19588;ODPOR SMD 1206 220R/F (V PASU) 0,25W RoHS;ODPOR SMD 1206 220R/F (V PASU) 0,25W RoHS;CZK;0,03;1
51637;ODPOR SMD 1206 2R2/F 0,25W (V PASU) RoHS;ODPOR SMD 1206 2R2/F 0,25W (V PASU) RoHS;CZK;0,03;3
10049;ODPOR SMD 1206 10R/F 0,25W (V PASU) RoHS;ODPOR SMD 1206 10R/F 0,25W (V PASU) RoHS;CZK;0,03;3
50015;ODPOR SMD 1206 4R7/F 0,25W (V PASU) RoHS;ODPOR SMD 1206 4R7/F 0,25W (V PASU) RoHS;CZK;0,19;2
27151;ODPOR SMD 0603 6K8/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 6K8/F 0,1W (V PASU) RoHS;CZK;0,01;1
26409;ODPOR SMD 0603 1K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 1K/F 0,1W (V PASU) RoHS;CZK;0,01;1
19698;DIODA SCHOTTKY 30V/0.2A BAT54 (SMD SOT23) RoHS;DIODA SCHOTTKY 30V/0.2A BAT54 (SMD SOT23) RoHS;EUR;0,01;4
29812;DIODA SCHOTTKY 100V/0.215A BAS16 (SMD SOT23, NXP) RoHS;DIODA SCHOTTKY 100V/0.215A BAS16 (SMD SOT23, NXP) RoHS;EUR;0,02;6
47057;DIODA SCHOTTKY 40V/1A MBRA140T3G (SMD SMA, DO-214AC) RoHS;DIODA SCHOTTKY 40V/1A MBRA140T3G (SMD SMA, DO-214AC) RoHS;CZK;2,15;2
54647;DIODA ZENEROVA 0,25W 18V BZX84-C18 (SMD SOT23) RoHS;DIODA ZENEROVA 0,25W 18V BZX84-C18 (SMD SOT23) RoHS;CZK;0,5;2
39139;BC849C (SMD SOT-23) 30V/0,2A RoHS;BC849C (SMD SOT-23) 30V/0,2A RoHS;EUR;0,02;2
30371;DIODA ZENEROVA 0,25W 10V BZX84C10 (SMD SOT23) RoHS;DIODA ZENEROVA 0,25W 10V BZX84C10 (SMD SOT23) RoHS;CZK;0,99;3
39141;DIODA 200V/1A EGL1D (SMD miniMELF, DO-213AA, SOD-80) RoHS;DIODA 200V/1A EGL1D (SMD miniMELF, DO-213AA, SOD-80) RoHS;EUR;0,03;5
40395;BCX56-16 (SMD SOT89, NPN) 80V/1A RoHS;BCX56-16 (SMD SOT89, NPN) 80V/1A RoHS;USD;0,2;3
52681;IRFR13N15D (SMD DPAK) RoHS;IRFR13N15D (SMD DPAK) RoHS;CZK;12,98;1
15213;TK SMD 0805 100N/50V 10% X7R (V PASU) RoHS;TK SMD 0805 100N/50V 10% X7R (V PASU) RoHS;CZK;0,04;12
47025;TK SMD 1206 1M/50V 5% X7R (V PASU) RoHS;TK SMD 1206 1M/50V 5% X7R (V PASU) RoHS;CZK;5,7;17
16041;TK SMD 0805 1N/50V 5% C0G/NPO (V PASU) RoHS;TK SMD 0805 1N/50V 5% C0G/NPO (V PASU) RoHS;CZK;0,07;13
46985;TK SMD 0805 1N5/50V 5% C0G/NPO (V PASU) RoHS;TK SMD 0805 1N5/50V 5% C0G/NPO (V PASU) RoHS;CZK;0,56;1
52273;TK SMD 1206 1N/200V 5% C0G/NPO (V PASU) RoHS;TK SMD 1206 1N/200V 5% C0G/NPO (V PASU) RoHS;CZK;1,2;8
52283;TK SMD 1206 470P/1000V 5% C0G/NPO (V PASU) RoHS;TK SMD 1206 470P/1000V 5% C0G/NPO (V PASU) RoHS;CZK;3,73;1
25151;TK SMD 1206 100N/100V 10% X7R (V PASU) RoHS;TK SMD 1206 100N/100V 10% X7R (V PASU) RoHS;EUR;0,01;1
9611;TK SMD 1206 100N/50V 10% X7R (V PASU) RoHS;TK SMD 1206 100N/50V 10% X7R (V PASU) RoHS;EUR;0,01;4
10483;TK SMD 0805 100P/50V 5% C0G/NPO (V PASU) RoHS;TK SMD 0805 100P/50V 5% C0G/NPO (V PASU) RoHS;CZK;0,05;2
10486;TK SMD 0805 47P/50V 5% C0G/NPO (V PASU) RoHS;TK SMD 0805 47P/50V 5% C0G/NPO (V PASU) RoHS;CZK;0,26;1
15212;TK SMD 0805 10N/50V 10% X7R (V PASU) RoHS;TK SMD 0805 10N/50V 10% X7R (V PASU) RoHS;CZK;0,04;1
44056;POZISTOR SMD075F-2 (30V/0,75A, 7,98 x 6,73 mm) RoHS;POZISTOR SMD075F-2 (30V/0,75A, 7,98 x 6,73 mm) RoHS;CZK;5,73;1
19775;POZISTOR SMD030F-2 (60V/0,30A, 7,98 x 3,2 mm) RoHS;POZISTOR SMD030F-2 (60V/0,30A, 7,98 x 3,2 mm) RoHS;EUR;0,18;1
47036;LQ SMD LYT67K-J2L1-26 (žlutá)  RoHS;LQ SMD LYT67K-J2L1-26 (žlutá)  RoHS;USD;0,09;2
47035;LQ SMD LST67K-J1K2-1 (èervená)  RoHS;LQ SMD LST67K-J1K2-1 (èervená)  RoHS;USD;0,09;4
40618;LQ SMD LGT67K-H2K1-24-Z (zelená) RoHS;LQ SMD LGT67K-H2K1-24-Z (zelená) RoHS;EUR;0,04;2
52284;OPTOCLEN VO615A-3X007T (SMD PDIP-4) RoHS;OPTOCLEN VO615A-3X007T (SMD PDIP-4) RoHS;CZK;3,51;1
40325;LM393M (SMD SOIC8) RoHS;LM393M (SMD SOIC8) RoHS;EUR;0,21;1
47065;LM358M (SMD SO-8) RoHS;LM358M (SMD SO-8) RoHS;EUR;0,24;2
47039;LM78L12ACM (SMD SOIC8) RoHS;LM78L12ACM (SMD SOIC8) RoHS;CZK;6,14;1
47040;LM79L12ACM (SMD SO8) RoHS;LM79L12ACM (SMD SO8) RoHS;USD;0,45;1
38749;MC78L05ACD (SMD SOIC-8) RoHS;MC78L05ACD (SMD SOIC-8) RoHS;CZK;3,78;1
43869;LM339AM (SMD SO-14) RoHS;LM339AM (SMD SO-14) RoHS;EUR;0,32;3
20912;AD8221ARMZ (SMD MSOP8) RoHS;AD8221ARMZ (SMD MSOP8) RoHS;USD;2,38;1
43863;OP177GSZ (SMD SO8) RoHS;OP177GSZ (SMD SO8) RoHS;USD;0,97;1
52276;MC79L05ACDG  (SMD SOIC-8) RoHS;MC79L05ACDG  (SMD SOIC-8) RoHS;CZK;4,62;1
52680;AD633ARZ (SMD SOIC-8) RoHS;AD633ARZ (SMD SOIC-8) RoHS;CZK;116,74;1
20536;ODPOR SMD 0603 4K7/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 4K7/F 0,1W (V PASU) RoHS;CZK;0,01;7
35729;ODPOR SMD 0603 150K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 150K/F 0,1W (V PASU) RoHS;CZK;0,01;1
26411;ODPOR SMD 0603 47K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 47K/F 0,1W (V PASU) RoHS;CZK;0,01;9
19257;ODPOR SMD 1206 5K6/F (V PASU) RoHS;ODPOR SMD 1206 5K6/F (V PASU) RoHS;CZK;0,03;1
40752;ODPOR SMD 1206 22R/F (V PASU) RoHS;ODPOR SMD 1206 22R/F (V PASU) RoHS;CZK;0,03;1
26778;ODPOR SMD 0603 10K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 10K/F 0,1W (V PASU) RoHS;CZK;0,01;10
25842;ODPOR SMD 1206 100R/F 0,25W (V PASU) RoHS;ODPOR SMD 1206 100R/F 0,25W (V PASU) RoHS;CZK;0,03;4
14934;ODPOR SMD 1206 6K8/F (V PASU) RoHS;ODPOR SMD 1206 6K8/F (V PASU) RoHS;CZK;0,03;3
26409;ODPOR SMD 0603 1K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 1K/F 0,1W (V PASU) RoHS;CZK;0,01;8
52298;ODPOR SMD 0204 miniMELF 68K 0,1% 15ppm/°K (MMA02040E6802BB100);ODPOR SMD 0204 miniMELF 68K 0,1% 15ppm/°K (MMA02040E6802BB100);CZK;8,78;2
6232;ODPOR SMD 1206 0R (V PASU) 0,25W RoHS;ODPOR SMD 1206 0R (V PASU) 0,25W RoHS;CZK;0,03;1
19998;ODPOR SMD 0603 1K2/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 1K2/F 0,1W (V PASU) RoHS;CZK;0,01;1
20538;ODPOR SMD 0603 1K5/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 1K5/F 0,1W (V PASU) RoHS;CZK;0,01;1
50405;ODPOR SMD 0603 15K 0,1% 0,1W ±15ppm 75V (ERA3APB153P) RoHS;ODPOR SMD 0603 15K 0,1% 0,1W ±15ppm 75V (ERA3APB153P) RoHS;USD;0,34;6
53223;ODPOR SMD 0603 3K 0,1% 0,1W ±10ppm 75V (ERA3ARB302P) RoHS;ODPOR SMD 0603 3K 0,1% 0,1W ±10ppm 75V (ERA3ARB302P) RoHS;USD;0,3;1
19994;ODPOR SMD 0603 1K8/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 1K8/F 0,1W (V PASU) RoHS;CZK;0,01;2
38117;ODPOR SMD 1206 47R/F (V PASU) RoHS;ODPOR SMD 1206 47R/F (V PASU) RoHS;CZK;0,03;5
14886;ODPOR SMD 1206 1K5/F (V PASU) RoHS;ODPOR SMD 1206 1K5/F (V PASU) RoHS;CZK;0,03;2
47015;ODPOR SMD 0603 10K 0,1% 0,032W ±15ppm 25V (MCT06030E1002BP500) RoH;ODPOR SMD 0603 10K 0,1% 0,032W ±15ppm 25V (MCT06030E1002BP500) RoH;EUR;0,12;4
51218;ODPOR SMD 0603 1M2/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 1M2/F 0,1W (V PASU) RoHS;CZK;0,15;1
53222;ODPOR SMD 0603 12K 0,1% 0,1W ±10ppm 75V (ERA3ARB123P) RoHS;ODPOR SMD 0603 12K 0,1% 0,1W ±10ppm 75V (ERA3ARB123P) RoHS;CZK;10,7;2
47355;ODPOR SMD 0603 1K 0,1% 0,1W ±10ppm (ERA3ARB102P) RoHS;ODPOR SMD 0603 1K 0,1% 0,1W ±10ppm (ERA3ARB102P) RoHS;USD;0,31;2
18028;ODPOR SMD 0603 22K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 22K/F 0,1W (V PASU) RoHS;CZK;0,01;8
26716;ODPOR SMD 1206 4K7/F 0,25W (V PASU) RoHS;ODPOR SMD 1206 4K7/F 0,25W (V PASU) RoHS;CZK;0,03;3
19993;ODPOR SMD 0603 100K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 100K/F 0,1W (V PASU) RoHS;CZK;0,01;8
