Èíslo K2;Název;Zkratka;Mìna;Cena;Množství
19991;ODPOR SMD 0603 15K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 15K/F 0,1W (V PASU) RoHS;CZK;0,01;4
21250;ODPOR SMD 0603 2K2/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 2K2/F 0,1W (V PASU) RoHS;CZK;0,01;3
47340;ODPOR SMD 0603 120K 0,1% 0,1W ±25ppm 75V (ERA3AEB124V) RoHS;ODPOR SMD 0603 120K 0,1% 0,1W ±25ppm 75V (ERA3AEB124V) RoHS;USD;0,08;1
25944;ODPOR SMD 0603 3K9/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 3K9/F 0,1W (V PASU) RoHS;CZK;0,01;1
47359;ODPOR SMD 0603 30K 0,1% 0,1W ±25ppm 75V (ERA3AEB303V) RoHS;ODPOR SMD 0603 30K 0,1% 0,1W ±25ppm 75V (ERA3AEB303V) RoHS;CZK;2,19;1
46967;ODPOR SMD 0603 18K 0,1% 0,125W ±50ppm (P0603H1802BN) RoHS, problém;ODPOR SMD 0603 18K 0,1% 0,125W ±50ppm (P0603H1802BN) RoHS, problém;CZK;1,38;4
26758;ODPOR SMD 0603 820R/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 820R/F 0,1W (V PASU) RoHS;CZK;0,01;1
28447;ODPOR SMD 0603 3K3/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 3K3/F 0,1W (V PASU) RoHS;CZK;0,01;1
43225;ODPOR SMD 0603 150K 0,1% 0,1W 75V (V PASU) RoHS, zrušeno !!!;ODPOR SMD 0603 150K 0,1% 0,1W 75V (V PASU) RoHS, zrušeno !!!;CZK;2,9;1
32523;ODPOR SMD 0603 82K/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 82K/F 0,1W (V PASU) RoHS;CZK;0,01;1
7428;ODPOR SMD 1206 2K2/F 0,25W (V PASU) RoHS;ODPOR SMD 1206 2K2/F 0,25W (V PASU) RoHS;CZK;0,03;1
40615;ODPOR SMD 4527 0R1 1% 3W 75ppm/°K  (WSR3R1000FEA) RoHS;ODPOR SMD 4527 0R1 1% 3W 75ppm/°K  (WSR3R1000FEA) RoHS;EUR;0,26;3
51216;ODPOR SMD 1218 2R2/F 1W (V PASU) RoHS;ODPOR SMD 1218 2R2/F 1W (V PASU) RoHS;CZK;1,27;1
26519;ODPOR SMD 0603 2K7/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 2K7/F 0,1W (V PASU) RoHS;CZK;0,02;1
52666;ODPOR SMD 0204 miniMELF 27K 0,1% 15ppm/°K (MMA02040E2702BB100 );ODPOR SMD 0204 miniMELF 27K 0,1% 15ppm/°K (MMA02040E2702BB100 );CZK;9,07;1
52667;ODPOR SMD 0204 miniMELF 3K 0,1% 15ppm/°K (MMA02040E3001BB100);ODPOR SMD 0204 miniMELF 3K 0,1% 15ppm/°K (MMA02040E3001BB100);CZK;9,07;1
14888;ODPOR SMD 1206 1K/F 0,25W (V PASU) RoHS;ODPOR SMD 1206 1K/F 0,25W (V PASU) RoHS;CZK;0,03;3
18031;ODPOR SMD 0603 1M/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 1M/F 0,1W (V PASU) RoHS;CZK;0,01;1
27069;ODPOR SMD 0603 5K6/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 5K6/F 0,1W (V PASU) RoHS;CZK;0,01;1
22131;ODPOR SMD 1206 20K/F (V PASU) RoHS;ODPOR SMD 1206 20K/F (V PASU) RoHS;CZK;0,03;4
31118;ODPOR SMD 0603 220R/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 220R/F 0,1W (V PASU) RoHS;CZK;0,01;1
29263;ODPOR SMD 0603 180R/F 0,1W (V PASU) RoHS;ODPOR SMD 0603 180R/F 0,1W (V PASU) RoHS;CZK;0,01;1
10051;ODPOR SMD 1206 12K/F (V PASU) RoHS;ODPOR SMD 1206 12K/F (V PASU) RoHS;CZK;0,03;1
9167;ODPOR SMD 1206 3K3/F (V PASU) RoHS;ODPOR SMD 1206 3K3/F (V PASU) RoHS;CZK;0,03;1
27954;ODPOR SMD 1206 1K8/F (V PASU) RoHS;ODPOR SMD 1206 1K8/F (V PASU) RoHS;CZK;0,04;1
43874;ODPOR SMD 4723 0R020 1% 5W (SMV-R020-1.0) RoHS;ODPOR SMD 4723 0R020 1% 5W (SMV-R020-1.0) RoHS;EUR;1,65;1
14364;DIODA 100V/0.125A BAV99 (SMD SOT-23) RoHS;DIODA 100V/0.125A BAV99 (SMD SOT-23) RoHS;EUR;0,01;8
19698;DIODA SCHOTTKY 30V/0.2A BAT54 (SMD SOT23) RoHS;DIODA SCHOTTKY 30V/0.2A BAT54 (SMD SOT23) RoHS;EUR;0,01;9
39139;BC849C (SMD SOT-23) 30V/0,2A RoHS;BC849C (SMD SOT-23) 30V/0,2A RoHS;EUR;0,02;6
54647;DIODA ZENEROVA 0,25W 18V BZX84-C18 (SMD SOT23) RoHS;DIODA ZENEROVA 0,25W 18V BZX84-C18 (SMD SOT23) RoHS;CZK;0,5;3
47539;TRANSIL SMBJ75A (SMD SMB, DO-214AA) RoHS;TRANSIL SMBJ75A (SMD SMB, DO-214AA) RoHS;CZK;3,36;4
19731;BSS123 (SMD SOT-23) 100V/150mA RoHS;BSS123 (SMD SOT-23) 100V/150mA RoHS;EUR;0,02;2
39141;DIODA 200V/1A EGL1D (SMD miniMELF, DO-213AA, SOD-80) RoHS;DIODA 200V/1A EGL1D (SMD miniMELF, DO-213AA, SOD-80) RoHS;EUR;0,03;8
47056;LM431CIM3 (SMD SOT-23) RoHS;LM431CIM3 (SMD SOT-23) RoHS;CZK;6,67;2
30371;DIODA ZENEROVA 0,25W 10V BZX84C10 (SMD SOT23) RoHS;DIODA ZENEROVA 0,25W 10V BZX84C10 (SMD SOT23) RoHS;CZK;0,99;3
39138;BC859C (SMD SOT-23) 30V/0,2A RoHS;BC859C (SMD SOT-23) 30V/0,2A RoHS;CZK;1,05;2
29812;DIODA SCHOTTKY 100V/0.215A BAS16 (SMD SOT23, NXP) RoHS;DIODA SCHOTTKY 100V/0.215A BAS16 (SMD SOT23, NXP) RoHS;EUR;0,012;3
27078;DIODA 85V/0.5A BAV199 (SMD SOT-23) RoHS;DIODA 85V/0.5A BAV199 (SMD SOT-23) RoHS;EUR;0,015;6
40395;BCX56-16 (SMD SOT89, NPN) 80V/1A RoHS;BCX56-16 (SMD SOT89, NPN) 80V/1A RoHS;USD;0,2;1
38461;BC807-25 (SMD SOT-23) 45V/0,5A RoHS;BC807-25 (SMD SOT-23) 45V/0,5A RoHS;EUR;0,12;1
50424;FILTR MURATA NFE61PT472C1H9L (SMD 2606, 4700pF) RoHS;FILTR MURATA NFE61PT472C1H9L (SMD 2606, 4700pF) RoHS;CZK;7,61;1
39177;FILTR MURATA NFE31PT222Z1E9L (SMD 1206, 2200pF) RoHS;FILTR MURATA NFE31PT222Z1E9L (SMD 1206, 2200pF) RoHS;EUR;0,19;2
54616;CLAMP E CORE E58/11/38 1025975 C;CLAMP E CORE E58/11/38 1025975 C;CZK;310;1
54614;CLAMP E CORE E43/28 1021652 B;CLAMP E CORE E43/28 1021652 B;CZK;310;1
52340;FOLIE TEPELNE VODIVA WSF 16 (Fischer) 28 x 43 mm, +-2mm;FOLIE TEPELNE VODIVA WSF 16 (Fischer) 28 x 43 mm, +-2mm;CZK;148,1;1
53196;FOLIE TEPELNE VODIVA WSF 16 (Fischer) 38 x 59 mm, +-2mm;FOLIE TEPELNE VODIVA WSF 16 (Fischer) 38 x 59 mm, +-2mm;CZK;175,8;1
41994;MATICE M3 DIN 934-A4  (BN 629);MATICE M3 DIN 934-A4  (BN 629);CZK;0,17;4
47814;SROUB M3X5 ISO 14583-A4 (BN 20038);SROUB M3X5 ISO 14583-A4 (BN 20038);CZK;0,77;4
51166;TLUMIVKA 1025966 B;TLUMIVKA 1025966 B;CZK;612;1
51167;TLUMIVKA 1028886 B;TLUMIVKA 1028886 B;CZK;278;1
52302;AAAAA;MKT 10N/630Vdc/300Vac 5% (6 x 18 x 18,5mm) RM15 RoHS, problém !!!!;CZK;3,44;4
46980;CS 100M/100V (12.5 x 20mm) RM5 +105°C RoHS;CS 100M/100V (12.5 x 20mm) RM5 +105°C RoHS;CZK;18,43;8
36120;TLUMIVKA EPCOS B78108S1224J (220 uH/0,250A, 5%) RoHS;TLUMIVKA EPCOS B78108S1224J (220 uH/0,250A, 5%) RoHS;CZK;3,8;1
52663;ODPOR 2W 12R (PR 02,  0414) RoHS;ODPOR 2W 12R (PR 02,  0414) RoHS;CZK;1,28;2
52664;ODPOR 2W 6R8 (PR 02, 0414) RoHS;ODPOR 2W 6R8 (PR 02, 0414) RoHS;CZK;1,28;1
47010;CANON 25 VIDLICE DO DPS 90° (FCI D25P13A6GL00LF) RoHS;CANON 25 VIDLICE DO DPS 90° (FCI D25P13A6GL00LF) RoHS;EUR;2,35;1
47540;FCT FM7W2P5-1002, canon vidlice,  RoHS;FCT FM7W2P5-1002, canon vidlice,  RoHS;EUR;4,47;1
52272;AMP LISTA 2x5 826632-5 RoHS;AMP LISTA 2x5 826632-5 RoHS;EUR;0,32;2
41946;PAJECI KOLIK 4022 007 45740;PAJECI KOLIK 4022 007 45740;CZK;1,82;2
52323;FCT FM9W4S5-1002-K121, canon zasuvka,  RoHS;FCT FM9W4S5-1002-K121, canon zasuvka,  RoHS;EUR;5,4;1
47578;FCT FMP008P104, kolík pro canon  RoHS;FCT FMP008P104, kolík pro canon  RoHS;EUR;1,61;2
47577;FCT FMP008S104, dutinka pro canon  RoHS;FCT FMP008S104, dutinka pro canon  RoHS;EUR;1,81;4
53216;CHLADIC FISCHER SK 85 1000 SA;CHLADIC FISCHER SK 85 1000 SA;CZK;748;1
53257;KOOPERACE-UPRAVA CHLADICE FISCHER SK85 1031466 B;KOOPERACE-UPRAVA CHLADICE FISCHER SK85 1031466 B;CZK;291;1
53333;FOLIE IZOLACNI CHO THERM 61-10-0808-1678;FOLIE IZOLACNI CHO THERM 61-10-0808-1678;CZK;218;1
53330;KOOPERACE-VYREZANI Insulation sheet 1033323 B;KOOPERACE-VYREZANI Insulation sheet 1033323 B;CZK;20;1
53333;FOLIE IZOLACNI CHO THERM 61-10-0808-1678;FOLIE IZOLACNI CHO THERM 61-10-0808-1678;CZK;218;1
53331;KOOPERACE-VYREZANI Insulation sheet 1033335 B;KOOPERACE-VYREZANI Insulation sheet 1033335 B;CZK;20;1
53333;FOLIE IZOLACNI CHO THERM 61-10-0808-1678;FOLIE IZOLACNI CHO THERM 61-10-0808-1678;CZK;17,43;1
54957;KOOPERACE-VYREZANI Insulation sheet 1049576 A;KOOPERACE-VYREZANI Insulation sheet 1049576 A;CZK;10;1
53258;HEAT CONDUCTOR BLOCK 1031477 B;HEAT CONDUCTOR BLOCK 1031477 B;CZK;280;2
54770;HEAT CONDUCTOR BLOCK 1055105 A;HEAT CONDUCTOR BLOCK 1055105 A;CZK;458;1
53260;SUPPORT HTPOB 1031613 B;SUPPORT HTPOB 1031613 B;CZK;206,72;2
53226;DISTANCNI SLOUPEK M4x12 MM (BN 3318) ocel;DISTANCNI SLOUPEK M4x12 MM (BN 3318) ocel;CZK;1,97;8
53261;BOTTOM COVER HTPOB 1044773 B;BOTTOM COVER HTPOB 1044773 B;CZK;93,02;1
56742;COVER HTPOB 1044626 C;COVER HTPOB 1044626 C;CZK;592,17;1
53264;TOP COVER HTPOB 1044896 B;TOP COVER HTPOB 1044896 B;CZK;238,31;1
47819;PODLOZKA 4 DIN 128A-A4 (BN 8856);PODLOZKA 4 DIN 128A-A4 (BN 8856);CZK;0,62;12
41991;SROUB M4X16 ISO 14583-A4 (BN 20038);SROUB M4X16 ISO 14583-A4 (BN 20038);CZK;0,84;12
41993;PODLOZKA 4,3 DIN 125-A4 (BN 671), ISO 7089;PODLOZKA 4,3 DIN 125-A4 (BN 671), ISO 7089;CZK;0,11;16
6197;PRUCHODKA IZOLACNI 4,2 ETINGER 3.18.046 (Nylon);PRUCHODKA IZOLACNI 4,2 ETINGER 3.18.046 (Nylon);CZK;1,4;12
53227;SROUB M5X10 ISO 14583-A4 (BN 20038);SROUB M5X10 ISO 14583-A4 (BN 20038);CZK;0,92;4
52814;SROUB M3X10 ISO 14583-A4 (BN 20038);SROUB M3X10 ISO 14583-A4 (BN 20038);CZK;1;2
41917;PODLOZKA 3 DIN 128A-A4 (BN 8856);PODLOZKA 3 DIN 128A-A4 (BN 8856);CZK;0,47;5
53229;PODLOZKA 3,2 DIN 9021-A4 (BN 1684), ISO 7093;PODLOZKA 3,2 DIN 9021-A4 (BN 1684), ISO 7093;CZK;0,12;2
45574;SROUB M4X8 ISO 14583-A4 (BN 20038);SROUB M4X8 ISO 14583-A4 (BN 20038);CZK;1,36;8
42296;SROUB M3X6 ISO 14583-A4 (BN 20038);SROUB M3X6 ISO 14583-A4 (BN 20038);CZK;0,77;3
41992;PODLOZKA 3,2 DIN 125-A4 (BN 671), ISO 7089;PODLOZKA 3,2 DIN 125-A4 (BN 671), ISO 7089;CZK;0,09;5
47814;SROUB M3X5 ISO 14583-A4 (BN 20038);SROUB M3X5 ISO 14583-A4 (BN 20038);CZK;0,77;2
53230;DISTANCNI SLOUPEK M4x25 MM (BN 3318) ocel;DISTANCNI SLOUPEK M4x25 MM (BN 3318) ocel;CZK;3,58;4
41286;DISTANCNI SLOUPEK 537RE43T, Quick Lock Bolt M3-3,8;DISTANCNI SLOUPEK 537RE43T, Quick Lock Bolt M3-3,8;EUR;0,4;2
48700;FCT F-GSCH 1/5-K441 RoHS;FCT F-GSCH 1/5-K441 RoHS;EUR;0,42;2
51349;DISTANCNI SLOUPEK 537RE4T, Post Q-lock FP0 4-40 UNC;DISTANCNI SLOUPEK 537RE4T, Post Q-lock FP0 4-40 UNC;EUR;1,49;2
54956;PODLOZKA 2,5 DIN 128A-A2 (BN 674);PODLOZKA 2,5 DIN 128A-A2 (BN 674);CZK;0,3;1
44086;SROUB M2,5X10 ISO 14583-A4 (BN 20038);SROUB M2,5X10 ISO 14583-A4 (BN 20038);CZK;0,56;1
44883;PRUCHODKA IB12;PRUCHODKA IB12;CZK;1,4;1
43746;PODLOZKA 2,7 DIN 125-A4 (BN 671);PODLOZKA 2,7 DIN 125-A4 (BN 671);CZK;0,09;1
51224;TERMISTOR NTC B57703M103G40 (10k) RoHS;TERMISTOR NTC B57703M103G40 (10k) RoHS;CZK;80,62;2
52679;BD140 (TO-126) 80V/1,5A RoHS;BD140 (TO-126) 80V/1,5A RoHS;CZK;2,05;1
13963;D44H11G (TO 220) RoHS;D44H11G (TO 220) RoHS;CZK;9,07;3
46971;IRFP4227PBF (TO-247AC) RoHS;IRFP4227PBF (TO-247AC) RoHS;CZK;40,67;2
40270;STITEK AVERY 25,4x10mm odolný vlivùm poèasí A4/189 (L6008-20) kovo;STITEK AVERY 25,4x10mm odolný vlivùm poèasí A4/189 (L6008-20) kovo;CZK;0,18;1
51643;SACEK ANTISTATICKY 400x600 (obj.è. 7804.262) permanentní disipativ;SACEK ANTISTATICKY 400x600 (obj.è. 7804.262) permanentní disipativ;CZK;12,66;1
10639;STITEK AVERY 35,6X16,9mm, ODNÍMATELNÝ A4/80 (L4732REV-25) bílý;STITEK AVERY 35,6X16,9mm, ODNÍMATELNÝ A4/80 (L4732REV-25) bílý;CZK;0,16;1
42331;STITEK SAMOLEPICI 13X12mm (FEI 2822 100 23218);STITEK SAMOLEPICI 13X12mm (FEI 2822 100 23218);CZK;1;1
